[bench] ============================================================
[bench] BiBo Benchmark — BIBO
[bench] ============================================================
[bench]   Device: cuda:0 (world_size=1)
[bench]   Batch: 16 x 1 accum
[bench]   Steps: 3000
[bench]   Optimizer: muon_adamw
[bench]   Scheduler: whd (WSD: 5% warmup → 60% hold → 35% cosine decay to 0)
[bench]   Precision: AMP bfloat16 (fp32 master weights)
[bench]   Muon NS coeffs: Polar-Express
[bench]   Deterministic: ON (seed=42, strict=False) — identical config => identical curve
[bench] ============================================================
[bench] Loading dataset...
[bench] Tokenizer vocab: 81920, safe: 81920
[bench] Building bibo model...
[bench] Params: 137.95M total, 71.89M active
[bench] MoE layers: 8, Dense: 2
[bench] Starting training from step 0...
[bench] 1148889 train, 60467 val samples
  step      1/3000 (  0.0%) | loss=11.4213 | lr=2.00e-06 | tok=16.38K | tps=7980 | mfu=5.3%/gpu | mem=7.5G | 2.053s | grad=18.1130 | ETA=1.7h
  step     10/3000 (  0.3%) | loss=11.3477 | lr=2.00e-05 | tok=163.84K | tps=112655 | mfu=74.8%/gpu | mem=9.4G | 0.142s | grad=13.6963 | ETA=7.1m
  step     20/3000 (  0.7%) | loss=11.1415 | lr=4.00e-05 | tok=327.68K | tps=115273 | mfu=76.5%/gpu | mem=9.4G | 0.141s | grad=7.1258 | ETA=7.0m
  step     30/3000 (  1.0%) | loss=10.7845 | lr=6.00e-05 | tok=491.52K | tps=115559 | mfu=76.7%/gpu | mem=9.4G | 0.144s | grad=7.0380 | ETA=7.1m
  step     40/3000 (  1.3%) | loss=10.3509 | lr=8.00e-05 | tok=655.36K | tps=115584 | mfu=76.7%/gpu | mem=9.4G | 0.142s | grad=4.2233 | ETA=7.0m
  step     50/3000 (  1.7%) | loss=9.6756 | lr=1.00e-04 | tok=819.20K | tps=111404 | mfu=73.9%/gpu | mem=9.3G | 0.141s | grad=4.7788 | ETA=6.9m
  step     60/3000 (  2.0%) | loss=8.9268 | lr=1.20e-04 | tok=983.04K | tps=111627 | mfu=74.1%/gpu | mem=9.0G | 0.153s | grad=4.6241 | ETA=7.5m
  step     70/3000 (  2.3%) | loss=8.2253 | lr=1.40e-04 | tok=1.15M | tps=112033 | mfu=74.3%/gpu | mem=8.7G | 0.137s | grad=3.6503 | ETA=6.7m
  step     80/3000 (  2.7%) | loss=7.8456 | lr=1.60e-04 | tok=1.31M | tps=116328 | mfu=77.2%/gpu | mem=8.7G | 0.137s | grad=2.2659 | ETA=6.7m
  step     90/3000 (  3.0%) | loss=7.6468 | lr=1.80e-04 | tok=1.47M | tps=118992 | mfu=79.0%/gpu | mem=8.7G | 0.137s | grad=1.9172 | ETA=6.6m
  step    100/3000 (  3.3%) | loss=7.5873 | lr=2.00e-04 | tok=1.64M | tps=118881 | mfu=78.9%/gpu | mem=8.8G | 0.138s | grad=1.7987 | ETA=6.7m
  step    110/3000 (  3.7%) | loss=7.4102 | lr=2.20e-04 | tok=1.80M | tps=117587 | mfu=78.0%/gpu | mem=9.0G | 0.140s | grad=1.7564 | ETA=6.8m
