[bench] ============================================================
[bench] BiBo Benchmark — BIBO
[bench] ============================================================
[bench]   Device: cuda:0 (world_size=1)
[bench]   Batch: 16 x 1 accum
[bench]   Steps: 3000
[bench]   Optimizer: muon_adamw
[bench]   Scheduler: whd (WSD: 5% warmup → 60% hold → 35% cosine decay to 0)
[bench]   Precision: AMP bfloat16 (fp32 master weights)
[bench]   Muon NS coeffs: Polar-Express
[bench]   Deterministic: ON (seed=42, strict=False) — identical config => identical curve
[bench] ============================================================
[bench] Loading dataset...
[bench] Tokenizer vocab: 81920, safe: 81920
[bench] Building bibo model...
[bench] Params: 137.95M total, 71.89M active
[bench] MoE layers: 8, Dense: 2
[bench] Starting training from step 0...
[bench] 1148889 train, 60467 val samples
  step      1/3000 (  0.0%) | loss=11.4213 | lr=2.00e-06 | tok=16.38K | tps=7707 | mfu=5.1%/gpu | mem=7.5G | 2.126s | grad=18.1085 | ETA=1.8h
  step     10/3000 (  0.3%) | loss=11.3477 | lr=2.00e-05 | tok=163.84K | tps=110732 | mfu=73.5%/gpu | mem=9.4G | 0.142s | grad=13.8735 | ETA=7.1m
  step     20/3000 (  0.7%) | loss=11.1414 | lr=4.00e-05 | tok=327.68K | tps=113349 | mfu=75.2%/gpu | mem=9.4G | 0.142s | grad=7.0334 | ETA=7.1m
  step     30/3000 (  1.0%) | loss=10.7901 | lr=6.00e-05 | tok=491.52K | tps=110396 | mfu=73.3%/gpu | mem=9.4G | 0.142s | grad=7.0813 | ETA=7.0m
  step     40/3000 (  1.3%) | loss=10.3554 | lr=8.00e-05 | tok=655.36K | tps=111698 | mfu=74.1%/gpu | mem=9.4G | 0.177s | grad=4.3671 | ETA=8.7m
  step     50/3000 (  1.7%) | loss=9.6795 | lr=1.00e-04 | tok=819.20K | tps=113052 | mfu=75.0%/gpu | mem=9.3G | 0.141s | grad=4.8491 | ETA=6.9m
  step     60/3000 (  2.0%) | loss=8.9418 | lr=1.20e-04 | tok=983.04K | tps=113068 | mfu=75.0%/gpu | mem=9.0G | 0.141s | grad=4.5854 | ETA=6.9m
  step     70/3000 (  2.3%) | loss=8.2307 | lr=1.40e-04 | tok=1.15M | tps=109143 | mfu=72.4%/gpu | mem=8.7G | 0.173s | grad=3.9711 | ETA=8.4m
  step     80/3000 (  2.7%) | loss=7.8587 | lr=1.60e-04 | tok=1.31M | tps=117837 | mfu=78.2%/gpu | mem=8.7G | 0.137s | grad=2.5217 | ETA=6.7m
  step     90/3000 (  3.0%) | loss=7.6537 | lr=1.80e-04 | tok=1.47M | tps=119518 | mfu=79.3%/gpu | mem=8.7G | 0.137s | grad=1.8806 | ETA=6.7m
  step    100/3000 (  3.3%) | loss=7.5938 | lr=2.00e-04 | tok=1.64M | tps=119457 | mfu=79.3%/gpu | mem=8.8G | 0.138s | grad=1.8056 | ETA=6.6m
  step    110/3000 (  3.7%) | loss=7.4161 | lr=2.20e-04 | tok=1.80M | tps=118428 | mfu=78.6%/gpu | mem=9.0G | 0.141s | grad=1.7268 | ETA=6.8m
  step    120/3000 (  4.0%) | loss=6.9784 | lr=2.40e-04 | tok=1.97M | tps=117241 | mfu=77.8%/gpu | mem=9.1G | 0.142s | grad=1.8890 | ETA=6.8m
  step    130/3000 (  4.3%) | loss=7.1177 | lr=2.60e-04 | tok=2.13M | tps=115146 | mfu=76.4%/gpu | mem=9.1G | 0.141s | grad=1.4499 | ETA=6.8m
  step    140/3000 (  4.7%) | loss=6.8316 | lr=2.80e-04 | tok=2.29M | tps=117167 | mfu=77.7%/gpu | mem=9.2G | 0.138s | grad=1.4859 | ETA=6.6m
  step    150/3000 (  5.0%) | loss=6.7665 | lr=3.00e-04 | tok=2.46M | tps=117527 | mfu=78.0%/gpu | mem=9.2G | 0.144s | grad=1.4137 | ETA=6.8m
  step    160/3000 (  5.3%) | loss=6.7345 | lr=3.00e-04 | tok=2.62M | tps=116713 | mfu=77.4%/gpu | mem=9.3G | 0.140s | grad=1.5035 | ETA=6.6m
  step    170/3000 (  5.7%) | loss=6.6933 | lr=3.00e-04 | tok=2.79M | tps=117296 | mfu=77.8%/gpu | mem=9.3G | 0.143s | grad=1.0572 | ETA=6.8m
  step    180/3000 (  6.0%) | loss=6.4330 | lr=3.00e-04 | tok=2.95M | tps=115328 | mfu=76.5%/gpu | mem=9.4G | 0.143s | grad=1.0472 | ETA=6.7m
  step    190/3000 (  6.3%) | loss=6.6133 | lr=3.00e-04 | tok=3.11M | tps=116698 | mfu=77.4%/gpu | mem=9.4G | 0.140s | grad=1.1576 | ETA=6.5m
  step    200/3000 (  6.7%) | loss=6.5049 | lr=3.00e-04 | tok=3.28M | tps=116725 | mfu=77.5%/gpu | mem=9.4G | 0.140s | grad=1.0972 | ETA=6.5m
  step    210/3000 (  7.0%) | loss=6.2555 | lr=3.00e-04 | tok=3.44M | tps=117690 | mfu=78.1%/gpu | mem=9.3G | 0.141s | grad=1.1757 | ETA=6.5m
  step    220/3000 (  7.3%) | loss=6.4641 | lr=3.00e-04 | tok=3.60M | tps=117330 | mfu=77.9%/gpu | mem=9.4G | 0.141s | grad=1.1853 | ETA=6.6m
  step    230/3000 (  7.7%) | loss=6.2607 | lr=3.00e-04 | tok=3.77M | tps=116115 | mfu=77.0%/gpu | mem=9.4G | 0.140s | grad=0.9746 | ETA=6.5m
  step    240/3000 (  8.0%) | loss=6.0659 | lr=3.00e-04 | tok=3.93M | tps=117119 | mfu=77.7%/gpu | mem=9.5G | 0.140s | grad=0.9445 | ETA=6.4m
  step    250/3000 (  8.3%) | loss=5.9575 | lr=3.00e-04 | tok=4.10M | tps=115144 | mfu=76.4%/gpu | mem=9.5G | 0.143s | grad=1.0112 | ETA=6.6m
    [VAL] loss=6.1527 ppl=469.99 bpb=1.4111
  step    260/3000 (  8.7%) | loss=5.9679 | lr=3.00e-04 | tok=4.26M | tps=113391 | mfu=75.2%/gpu | mem=9.5G | 0.144s | grad=1.0765 | ETA=6.6m
  step    270/3000 (  9.0%) | loss=6.0878 | lr=3.00e-04 | tok=4.42M | tps=114483 | mfu=76.0%/gpu | mem=9.5G | 0.142s | grad=0.9663 | ETA=6.5m
